DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-10-29 01:00:00,CATALCA,AUTOMATED_WEATHER_SENSOR,16.5,17.5,17.12632,90,92,90.7193,2.2,5.1,3.52456,0,358,53.14035,0,0,0,-99,-99,-99,16.85,17.87,17.41298
2020-10-09 01:00:00,SUBASI,ICING_SENSOR,14.64,15,14.83217,92.6,94.6,93.855,0.312,1.864,1.00142,2,350,218.11667,0,0,0,15.3,16.4,16.03667,15.58,17.2,16.13117
2020-10-21 16:00:00,CATALCA,AUTOMATED_WEATHER_SENSOR,16.1,16.4,16.26,78,80,79.3,8.1,12.9,10.56833,29,61,47.71667,0,0,0,-99,-99,-99,14.64,15.4,15.0005
2020-10-09 20:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,13.9,14.5,14.24667,100,100,100,0.1,1.6,0.78,12,114,62.21667,0,0,0,-99,-99,-99,14.91,17.47,15.82917
2020-10-02 07:00:00,CAMLICA_LIBADIYE,ICING_SENSOR,20.29,20.64,20.45145,52.82,62.59,56.68355,2.37,5.41,3.97516,200,284,225.22581,1,60,35.25806,25.1,28.9,26.9,20.86,21.61,21.28903
2020-10-11 04:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,15.44,15.91,15.63627,96.2,96.5,96.31525,0,0,0,55,146,106.0339,0,0,0,17.2,17.7,17.3678,15.44,15.91,15.63881
2020-10-05 09:00:00,EMINONU,AUTOMATED_WEATHER_SENSOR,28.6,31.7,30.2371,34,47,38.58065,0.6,3.3,1.89032,137,299,202.77419,0,0,0,-99,-99,-99,28.65,31.11,29.80935
2020-10-09 15:00:00,KAMILOBA,AUTOMATED_WEATHER_SENSOR,15.69,16.06,15.90066,100,100,100,0,0,0,0,0,0,0,0,0,-99,-99,-99,15.69,16.06,15.90066
2020-10-04 16:00:00,SUBASI,ICING_SENSOR,24.65,26.13,25.496,36.28,39.39,37.64167,0.358,2.529,1.42937,155,273,239.36667,0,0,0,27.4,29.3,28.28,25.66,27.25,26.12533
2020-10-09 15:00:00,EMINONU,AUTOMATED_WEATHER_SENSOR,16.8,17.5,17.23333,79,82,80.66667,0,2.5,0.86,0,359,177.93333,0,0.2,0.05,-99,-99,-99,17,20.41,18.75833
